cid,nlane,turn,dnroad,geom,len
4393_4423,3,S#U#L,4423_4471#4423_4393#4423_4448,LINESTRING(118.723892282 30.9160036330001;118.724844511 30.9169356090001;118.725139689 30.9172075440001;118.72554912 30.9175847340001;118.72639217 30.9182988110001;118.727228216 30.918991981;118.728001335 30.9196325400001;118.728375699 30.9199501530001),612.7977763205269
4393_9052,0,L#S#U#R,9052_8367#9052_9051#9052_4393#9052_9135,LINESTRING(118.723892282 30.9160036330001;118.722024324 30.9140160600001;118.720700154 30.9125526920001;118.720136222 30.9119816210001;118.719768595 30.911646117;118.718447994 30.9105218220001;118.717744863 30.9098936440001;118.717195208 30.9094260800001;118.716467291 30.9088459870001),1066.4846532943966
4423_4471,4,R#S#U#L,4471_4440#4471_4493#4471_4423#4471_4496,LINESTRING(118.728375699 30.9199501530001;118.728747766 30.920265816;118.729801576 30.9211240270001;118.73076324 30.9219052030001;118.731603947 30.9226078240001;118.732520889 30.923362862;118.733360693 30.924013947;118.733407433 30.9240550690001),662.1959670657886
4438_4439,0,S#U,4439_4448#4439_4438,LINESTRING(118.718755032 30.9211743930001;118.720820615 30.920361588;118.722453919 30.9197707880001;118.722677839 30.919757067;118.722977489 30.9197996010001;118.723119303 30.91983708;118.72319199 30.9199152250001),462.0972608008144
4438_4474,2,R#S#U#L,4474_4448#4474_4582#4474_4438#4474_4502,LINESTRING(118.718755032 30.9211743930001;118.719776674 30.922589999;118.720795579 30.924005633;118.721023881 30.9243292560001),411.5472060925527
4439_4448,0,R#S#U#L,4448_4423#4448_4496#4448_4439#4448_4474,LINESTRING(118.72319199 30.9199152250001;118.723424185 30.92014691;118.724133865 30.9209544010001;118.72498767 30.9219444890001),283.04994985107373
4440_4497,3,R#U#S#L,4497_4415#4497_4440#4497_4526#4497_4536,LINESTRING(118.751056271 30.9209090950001;118.751191433 30.920961371;118.752246648 30.92134672;118.752827484 30.9215177930001;118.75335601 30.921665712;118.754085295 30.921819854;118.754786697 30.9219624400001;118.756260227 30.9221422540001;118.75744583 30.9222782470001;118.758355406 30.922453773;118.758758509 30.922552674;118.75941962 30.9227613960001;118.759952493 30.922956948;118.760632432 30.923248915;118.761156683 30.9235400170001;118.76200405 30.9240951310001;118.762639737 30.924614354;118.763323132 30.925282044;118.764629799 30.926687842),1500.5641761265365
4448_4423,2,L#R#U,4423_4471#4423_4393#4423_4448,LINESTRING(118.72498767 30.9219444890001;118.728375699 30.9199501530001),392.1221756222692
4448_4496,2,R#S#U#L,4496_4471#4496_4539#4496_4448#4496_4518,LINESTRING(118.72498767 30.9219444890001;118.725248578 30.922247036;118.726171057 30.9233131770001;118.726921554 30.9241716440001;118.728366735 30.9258606760001;118.729294252 30.9269730350001),693.016782274206
4464_4438,0,S#L#U,4438_4439#4438_4474#4438_4464,LINESTRING(118.709537063 30.923882081;118.710498958 30.92330087;118.714128082 30.921484804;118.715483571 30.9209085100001;118.715864184 30.92083546;118.716201188 30.9208775130001;118.716410172 30.920957055;118.716986881 30.9214039240001;118.717183735 30.92150152;118.71738391 30.921552546;118.717608155 30.921556724;118.717988449 30.921465777;118.718755032 30.9211743930001),1004.4727876181648
4464_4502,4,R#S#U#L,4502_4474#4502_4534#4502_4464#4502_4520,LINESTRING(118.709537063 30.923882081;118.711081705 30.925246687;118.712745277 30.9266562380001;118.714265649 30.9279483660001;118.714507529 30.928181968),673.1003812544795
4471_4440,0,S#U#R,4440_4497#4440_4471#4440_9054,LINESTRING(118.733407433 30.9240550690001;118.734310609 30.9233124090001;118.735372673 30.922546583;118.736515666 30.921857205;118.737026251 30.9215878910001;118.737729594 30.9212652840001;118.738282375 30.92103417;118.738567492 30.9209229690001;118.739299464 30.9206536520001;118.740076934 30.9204135430001;118.740786416 30.920239958;118.742130152 30.919941511;118.743308737 30.9196929940001;118.744039987 30.919575766;118.744938053 30.9195010170001;118.745906696 30.919502853;118.746710741 30.9195844490001;118.747501603 30.9197020070001;118.748276368 30.919885391;118.748843465 30.920062633;118.749470389 30.920295729;118.751056271 30.9209090950001),1850.9335523336672
